Displacement/μm - ,Load/N - 
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.123
166.22,124.123
166.2,124.158
166.2,124.158
166.22,124.123
166.22,124.158
166.2,124.123
166.22,124.158
166.2,124.158
166.22,124.123
166.22,124.158
166.22,124.123
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.123
166.22,124.123
166.2,124.158
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.158
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.22,124.123
166.2,124.123
166.2,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.2,124.123
166.22,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.22,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.18,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.22,124.123
166.18,124.123
166.2,124.123
166.22,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.24,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.24,124.123
166.22,124.123
166.22,124.123
166.2,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.24,124.123
166.24,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.22,124.123
166.24,124.123
166.22,124.123
166.22,124.123
166.22,124.088
166.22,124.123
166.22,124.088
166.22,124.123
166.24,124.088
166.2,124.123
166.22,124.123
166.2,124.088
166.24,124.123
166.2,124.088
166.22,124.123
166.22,124.123
166.24,124.088
166.22,124.088
166.22,124.123
166.22,124.088
166.2,124.088
166.22,124.088
166.24,124.123
166.22,124.123
166.22,124.088
166.22,124.088
166.22,124.088
166.22,124.123
166.22,124.088
166.2,124.088
166.22,124.088
166.22,124.088
166.24,124.018
166.22,123.983
166.24,123.913
166.26,123.878
166.26,123.843
166.28,123.843
166.28,123.808
166.3,123.773
166.38,123.773
166.46,123.808
166.54,123.843
166.6,123.878
166.7,124.053
166.78,124.228
166.86,124.368
166.94,124.473
167.04,124.613
167.12,124.788
167.24,124.998
167.32,125.209
167.42,125.419
167.52,125.629
167.66,125.839
167.74,126.084
167.88,126.399
168,126.644
168.1,126.889
168.24,127.134
168.38,127.414
168.5,127.695
168.62,127.94
168.76,128.22
168.88,128.5
169.02,128.78
169.14,129.2
169.32,129.41
169.46,129.83
169.58,130.18
169.74,130.496
169.9,130.811
170.1,131.126
170.26,131.476
170.46,131.826
170.62,132.176
170.8,132.631
171,132.982
171.22,133.297
171.4,133.612
171.6,133.927
171.8,134.277
172.02,134.592
172.18,134.907
172.38,135.222
172.56,135.573
172.74,135.923
172.94,136.273
173.14,136.798
173.28,137.183
173.48,137.568
173.64,137.954
173.82,138.339
173.98,138.759
174.18,139.179
174.36,139.634
174.54,140.089
174.7,140.545
174.9,141
175.1,141.455
175.32,142.085
175.5,142.365
175.76,142.996
176,143.486
176.26,143.976
176.52,144.466
176.82,144.991
177.08,145.517
177.42,146.042
177.72,146.602
178.04,147.127
178.34,147.652
178.64,148.388
178.94,148.948
179.26,149.473
179.5,149.998
179.8,150.524
180.1,151.014
180.38,151.504
180.66,151.994
181.04,152.484
181.34,152.974
181.66,153.395
181.94,153.85
182.26,154.445
182.56,154.9
182.84,155.355
183.12,155.846
183.4,156.301
183.62,156.791
183.86,157.246
184.1,157.736
184.32,158.192
184.52,158.647
184.74,159.277
184.94,159.802
185.16,160.292
185.38,160.818
185.62,161.378
185.88,161.938
186.12,162.498
186.4,163.058
186.68,163.654
186.96,164.214
187.28,164.739
187.56,165.264
187.84,165.965
188.14,166.49
188.48,167.015
188.76,167.61
189.1,168.135
189.34,168.661
189.6,169.186
189.88,169.676
190.18,170.236
190.46,170.797
190.76,171.567
191.08,172.162
191.4,172.722
191.72,173.318
192.06,173.878
192.38,174.438
192.74,175.068
193.04,175.663
193.38,176.504
193.66,176.924
193.94,177.519
194.2,178.149
194.46,178.92
194.72,179.55
194.98,180.11
195.26,180.705
195.52,181.301
195.78,181.931
196.1,182.526
196.4,183.156
196.74,183.787
197.08,184.417
197.46,185.257
197.84,185.922
198.22,186.518
198.58,187.183
198.96,187.813
199.26,188.478
199.64,189.144
199.94,189.844
200.28,190.719
200.62,191.385
201,192.05
201.34,192.715
201.74,193.38
202.1,194.011
202.5,194.641
202.88,195.271
203.24,195.866
203.58,196.462
203.92,197.302
204.2,197.967
204.52,198.597
204.8,199.228
205.08,199.858
205.36,200.488
205.64,201.153
205.9,201.854
206.18,202.484
206.48,203.079
206.78,203.955
207.08,204.585
207.4,205.285
207.7,205.985
